,video_id,video_title,upload_date,view_count,like_count,comment_count
0,41eHLnSTEsY,День сто шестьдесят второй. Беседа с  Alexey Arestovych Алексей Арестович,2022-08-04,0,74,0
1,fV4DOFnHoPE,День сто шестьдесят первый. Беседа с  Alexey Arestovych Алексеем Арестовичем,2022-08-03,1423833,263214,3433
2,bn9cq1JqDtc,На фронтах IV мировой. Беседа с  Андрей Пионтковский,2022-08-03,497961,63296,797
3,vSyZ0p-HcgM,День сто шестидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-08-02,1691733,284706,3282
4,Dh9Dc6Sw3kY,День сто пятьдесят девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-08-01,1883506,302672,3847
5,IGHXVvpLbEc,Две угрозы. Беседа с Юрием Фёдоровым,2022-07-31,933966,88567,850
6,1n0r23kPCSg,Концлагерь в Еленовке. Беседа с Антоном Геращенко,2022-07-30,1039028,117737,3655
7,cArmrPDp8sY,День сто пятьдесят шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-29,2049854,299525,5209
8,3hj0QtW0WJw,Война до последнего русского. Беседа с Фёдором Крашенинниковым,2022-07-28,837709,73468,2295
9,RKHAHi8K3IA,День сто пятьдесят четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-27,1787524,287279,4055
10,7FrhwpCb570,Правый берег. Беседа с  Олег Жданов,2022-07-27,916989,111604,1248
11,9fuz_mz6PUk,Перемирие. Беседа с  Андрей Пионтковский,2022-07-27,703980,78947,1211
12,k9SQVzTjfR0,Пять месяцев. Беседа с Геннадием Гудковым,2022-07-26,898489,99257,3405
13,4UmroqAS5G0,День сто пятьдесят второй. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-25,1874937,281650,3704
14,Ojkcp95Y_G0,Ничтожная сделка. Беседа с  Тарас Березовец,2022-07-24,995169,108199,2420
15,1YyvwCfFmoE,День сто пятидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-23,1840827,273575,3772
16,j1OGT69D9jc,День сто сорок девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-22,1718099,282503,3707
17,_y2krec8POo,День сто сорок восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-21,1666333,289294,3320
18,9qA4P30gGyI,В натуре мобилизованные. Беседа с Владимиром Осечкиным  Гулагу-нет Официальный канал,2022-07-21,720002,70372,1134
19,z_B7GoLPxXA,День сто сорок седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-20,1628382,293946,3358
20,R7qOqegFKJ4,Зерно в обмен на мир. Беседа с  Yulia Latynina Юлия Латынина,2022-07-20,308952,33722,797
21,X6LFCxK3wpQ,Ракетный шантаж. Беседа с  Андрей Пионтковский,2022-07-20,494231,57397,744
22,t1-RWRkoW9M,День сто сорок шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-19,1669909,291399,3665
23,QsTTl1ZIfg8,Сопутствующий ущерб. Беседа с Геннадием Гудковым,2022-07-19,638200,73023,1035
24,14kI7MbduZg,В ожидании приговора. Беседа с Вадимом Лукашевичем,2022-07-19,309662,28193,544
25,g-ah84011yk,День сто сорок пятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-18,1688638,282618,4176
26,UG51pb0SvNw,Огонь по складам. Беседа с  Олег Жданов,2022-07-18,1213254,143155,1812
27,ZrsR9caZ50U,Уцелеет ли Крымский мост? Стрим Марка Фейгина,2022-07-17,1090341,160994,3572
28,oBYl9BBs0CE,День сто сорок третий. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-16,2020966,402757,5264
29,k8FtFu8ogtY,День сто сорок второй. Беседа с  Alexey Arestovych Алексей Арестович,2022-07-15,1948979,333914,7812
